GeneName	Biosystems	CGDB	GWAS	GO	McMahon	Confidence
AADAT	NaN	NaN	True	NaN	NaN	Low
AANAT	True	NaN	NaN	True	True	High
AASDH	NaN	True	NaN	NaN	NaN	Low
AATK	NaN	True	NaN	NaN	NaN	Low
ABCA1	NaN	True	NaN	NaN	NaN	Low
ABCA4	NaN	True	NaN	NaN	NaN	Low
ABCB1	NaN	True	NaN	NaN	NaN	Low
ABCD1	NaN	True	NaN	NaN	NaN	Low
ABCD2	NaN	True	NaN	NaN	NaN	Low
ABCG1	NaN	True	NaN	NaN	NaN	Low
ABHD1	NaN	True	NaN	NaN	NaN	Low
ABHD3	NaN	True	NaN	NaN	NaN	Low
ABHD4	NaN	True	NaN	NaN	NaN	Low
ABHD5	NaN	True	NaN	NaN	NaN	Low
ABLIM1	NaN	True	NaN	NaN	NaN	Low
ABLIM2	NaN	True	NaN	NaN	NaN	Low
ABTB1	NaN	True	NaN	NaN	NaN	Low
ACADSB	NaN	True	NaN	NaN	NaN	Low
ACOX1	NaN	True	NaN	NaN	NaN	Low
ACSL1	NaN	True	NaN	NaN	NaN	Low
ACSL6	NaN	True	NaN	NaN	NaN	Low
ACTBP13	NaN	NaN	True	NaN	NaN	Low
ACTG1P22	NaN	NaN	True	NaN	NaN	Low
ACVR1C	NaN	True	NaN	NaN	NaN	Low
ACYP1	NaN	True	NaN	NaN	NaN	Low
ACYP2	NaN	NaN	True	NaN	NaN	Low
ADA	True	NaN	NaN	True	NaN	Medium
ADAL	NaN	True	NaN	NaN	NaN	Low
ADAM10	NaN	NaN	True	NaN	NaN	Low
ADAM17	NaN	True	NaN	NaN	NaN	Low
ADAM33	NaN	True	NaN	NaN	NaN	Low
ADAMTS14	NaN	NaN	True	NaN	NaN	Low
ADAMTSL4	NaN	True	NaN	NaN	NaN	Low
ADAP1	NaN	True	NaN	NaN	NaN	Low
ADAT2	NaN	NaN	True	NaN	NaN	Low
ADCK1	NaN	NaN	True	NaN	NaN	Low
ADCY1	True	NaN	NaN	True	NaN	Medium
ADCY3	NaN	NaN	True	NaN	NaN	Low
