GeneID	GeneName	GTEx_Tissue	Vindija
ENSG00000129673	AANAT	Artery_Coronary	1
ENSG00000149295	DRD2	Pancreas	1
ENSG00000107485	GATA3	Skin_Sun_Exposed_Lower_leg	1
ENSG00000117318	ID3	Brain_Hippocampus	1
ENSG00000107104	KANK1	Whole_Blood	1
ENSG00000172264	MACROD2	Artery_Tibial	1
ENSG00000135272	MDFIC	Nerve_Tibial	1
ENSG00000132382	MYBBP1A	Thyroid	1
ENSG00000108784	NAGLU	Liver	1
ENSG00000126368	NR1D1	Adipose_Subcutaneous	1
ENSG00000160113	NR2F6	Skin_Not_Sun_Exposed_Suprapubic	1
ENSG00000081913	PHLPP1	Brain_Anterior_cingulate_cortex_BA24	1
ENSG00000132170	PPARG	Esophagus_Muscularis	1
ENSG00000132170	PPARG	Artery_Tibial	1
ENSG00000172531	PPP1CA	Esophagus_Muscularis	1
ENSG00000162409	PRKAA2	Stomach	1
ENSG00000069667	RORA	Esophagus_Gastroesophageal_Junction	1
ENSG00000142178	SIK1	Heart_Atrial_Appendage	1
ENSG00000111602	TIMELESS	Skin_Sun_Exposed_Lower_leg	1
ENSG00000140836	ZFHX3	Small_Intestine_Terminal_Ileum	1
