GeneID	GeneName
ENSG00000153064	BANK1
ENSG00000158941	CCAR2
ENSG00000107736	CDH23
ENSG00000134852	CLOCK
ENSG00000105662	CRTC1
ENSG00000057593	F7
ENSG00000161040	FBXL13
ENSG00000119771	KLHL29
ENSG00000205213	LGR4
ENSG00000005810	MYCBP2
ENSG00000140396	NCOA2
ENSG00000141027	NCOR1
ENSG00000064300	NGFR
ENSG00000204640	NMS
ENSG00000132326	PER2
ENSG00000149177	PTPRJ
ENSG00000173482	PTPRM
ENSG00000152061	RABGAP1L
ENSG00000173914	RBM4B
ENSG00000141576	RNF157
ENSG00000134318	ROCK2
ENSG00000198963	RORB
ENSG00000143365	RORC
ENSG00000103546	SLC6A2
ENSG00000108576	SLC6A4
ENSG00000072310	SREBF1
ENSG00000141510	TP53
ENSG00000140836	ZFHX3
