GeneName	GeneID	Description
AADAT	ENSG00000109576	aminoadipate aminotransferase(AADAT)
AANAT	ENSG00000129673	aralkylamine N-acetyltransferase(AANAT)
AASDH	ENSG00000157426	aminoadipate-semialdehyde dehydrogenase(AASDH)
AATK	ENSG00000181409	apoptosis associated tyrosine kinase(AATK)
ABCA1	ENSG00000165029	ATP binding cassette subfamily A member 1(ABCA1)
ABCA4	ENSG00000198691	ATP binding cassette subfamily A member 4(ABCA4)
ABCB1	ENSG00000085563	ATP binding cassette subfamily B member 1(ABCB1)
ABCD1	ENSG00000101986	ATP binding cassette subfamily D member 1(ABCD1)
ABCD2	ENSG00000173208	ATP binding cassette subfamily D member 2(ABCD2)
ABCG1	ENSG00000160179	ATP binding cassette subfamily G member 1(ABCG1)
ABHD1	ENSG00000143994	abhydrolase domain containing 1(ABHD1)
ABHD3	ENSG00000158201	abhydrolase domain containing 3, phospholipase(ABHD3)
ABHD4	ENSG00000100439	abhydrolase domain containing 4, N-acyl phospholipase B(ABHD4)
ABHD5	ENSG00000011198	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase(ABHD5)
ABLIM1	ENSG00000099204	actin binding LIM protein 1(ABLIM1)
ABLIM2	ENSG00000163995	actin binding LIM protein family member 2(ABLIM2)
ABTB1	ENSG00000114626	ankyrin repeat and BTB domain containing 1(ABTB1)
ACADSB	ENSG00000196177	acyl-CoA dehydrogenase short/branched chain(ACADSB)
ACOX1	ENSG00000161533	acyl-CoA oxidase 1(ACOX1)
ACSL1	ENSG00000151726	acyl-CoA synthetase long chain family member 1(ACSL1)
ACSL6	ENSG00000164398	acyl-CoA synthetase long chain family member 6(ACSL6)
ACVR1C	ENSG00000123612	activin A receptor type 1C(ACVR1C)
ACYP1	ENSG00000119640	acylphosphatase 1(ACYP1)
ACYP2	ENSG00000170634	acylphosphatase 2(ACYP2)
ADA	ENSG00000196839	adenosine deaminase(ADA)
ADAL	ENSG00000168803	adenosine deaminase like(ADAL)
ADAM10	ENSG00000137845	ADAM metallopeptidase domain 10(ADAM10)
ADAM17	ENSG00000151694	ADAM metallopeptidase domain 17(ADAM17)
ADAM33	ENSG00000149451	ADAM metallopeptidase domain 33(ADAM33)
ADAMTS14	ENSG00000138316	ADAM metallopeptidase with thrombospondin type 1 motif 14(ADAMTS14)
ADAMTSL4	ENSG00000143382	ADAMTS like 4(ADAMTSL4)
ADAP1	ENSG00000105963	ArfGAP with dual PH domains 1(ADAP1)
ADAT2	ENSG00000189007	adenosine deaminase tRNA specific 2(ADAT2)
ADCK1	ENSG00000063761	aarF domain containing kinase 1(ADCK1)
ADCY1	ENSG00000164742	adenylate cyclase 1(ADCY1)
ADCY3	ENSG00000138031	adenylate cyclase 3(ADCY3)
ADCY4	ENSG00000129467	adenylate cyclase 4(ADCY4)
ADCY5	ENSG00000173175	adenylate cyclase 5(ADCY5)
ADGRL3	ENSG00000150471	adhesion G protein-coupled receptor L3(ADGRL3)
ADH5P2	ENSG00000232676	ADH5 pseudogene 2(ADH5P2)
ADIPOQ	ENSG00000181092	adiponectin, C1Q and collagen domain containing(ADIPOQ)
ADIPOR1	ENSG00000159346	adiponectin receptor 1(ADIPOR1)
ADIPOR2	ENSG00000006831	adiponectin receptor 2(ADIPOR2)
ADM	ENSG00000148926	adrenomedullin(ADM)
ADORA1	ENSG00000163485	adenosine A1 receptor(ADORA1)
ADORA2A	ENSG00000128271	adenosine A2a receptor(ADORA2A)
ADRA1A	ENSG00000120907	adrenoceptor alpha 1A(ADRA1A)
ADRA1B	ENSG00000170214	adrenoceptor alpha 1B(ADRA1B)
ADRB1	ENSG00000043591	adrenoceptor beta 1(ADRB1)
AEN	ENSG00000181026	apoptosis enhancing nuclease(AEN)
AGBL2	ENSG00000165923	AGBL carboxypeptidase 2(AGBL2)
AGK	ENSG00000006530	acylglycerol kinase(AGK)
AGMAT	ENSG00000116771	agmatinase(AGMAT)
AGPAT5	ENSG00000155189	1-acylglycerol-3-phosphate O-acyltransferase 5(AGPAT5)
AGRP	ENSG00000159723	agouti related neuropeptide(AGRP)
AGTRAP	ENSG00000177674	angiotensin II receptor associated protein(AGTRAP)
AHCY	ENSG00000101444	adenosylhomocysteinase(AHCY)
AHR	ENSG00000106546	aryl hydrocarbon receptor(AHR)
AHSA2P	ENSG00000173209	activator of HSP90 ATPase homolog 2, pseudogene(AHSA2P)
AJAP1	ENSG00000196581	adherens junctions associated protein 1(AJAP1)
AK3	ENSG00000147853	adenylate kinase 3(AK3)
AK5	ENSG00000154027	adenylate kinase 5(AK5)
AK6P1	ENSG00000256614	adenylate kinase 6 pseudogene 1(AK6P1)
AK6P2	ENSG00000257173	adenylate kinase 6 pseudogene 2(AK6P2)
AKAIN1	ENSG00000231824	A-kinase anchor inhibitor 1(AKAIN1)
AKAP1	ENSG00000121057	A-kinase anchoring protein 1(AKAP1)
AKAP9	ENSG00000127914	A-kinase anchoring protein 9(AKAP9)
ALCAM	ENSG00000170017	activated leukocyte cell adhesion molecule(ALCAM)
ALG10B	ENSG00000175548	ALG10 alpha-1,2-glucosyltransferase B(ALG10B)
ALKBH2	ENSG00000189046	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase(ALKBH2)
ALKBH3	ENSG00000166199	alkB homolog 3, alpha-ketoglutarate dependent dioxygenase(ALKBH3)
ALKBH4	ENSG00000160993	alkB homolog 4, lysine demethylase(ALKBH4)
ALOX5AP	ENSG00000132965	arachidonate 5-lipoxygenase activating protein(ALOX5AP)
ALPL	ENSG00000162551	alkaline phosphatase, biomineralization associated(ALPL)
AMELX	ENSG00000125363	amelogenin X-linked(AMELX)
AMIGO2	ENSG00000139211	adhesion molecule with Ig like domain 2(AMIGO2)
AMIGO3	ENSG00000176020	adhesion molecule with Ig like domain 3(AMIGO3)
ANAPC1	ENSG00000153107	anaphase promoting complex subunit 1(ANAPC1)
ANAPC4	ENSG00000053900	anaphase promoting complex subunit 4(ANAPC4)
ANGEL2	ENSG00000174606	angel homolog 2(ANGEL2)
ANGPT2	ENSG00000091879	angiopoietin 2(ANGPT2)
ANK1	ENSG00000029534	ankyrin 1(ANK1)
ANK2	ENSG00000145362	ankyrin 2(ANK2)
ANK2-AS1	ENSG00000248152	ANK2 antisense RNA 1(ANK2-AS1)
ANK3	ENSG00000151150	ankyrin 3(ANK3)
ANKAR	ENSG00000151687	ankyrin and armadillo repeat containing(ANKAR)
ANKFN1	ENSG00000153930	ankyrin repeat and fibronectin type III domain containing 1(ANKFN1)
ANKIB1	ENSG00000001629	ankyrin repeat and IBR domain containing 1(ANKIB1)
ANKRD13D	ENSG00000172932	ankyrin repeat domain 13D(ANKRD13D)
ANKRD18A	ENSG00000180071	ankyrin repeat domain 18A(ANKRD18A)
ANKRD26	ENSG00000107890	ankyrin repeat domain containing 26(ANKRD26)
ANKRD36	ENSG00000135976	ankyrin repeat domain 36(ANKRD36)
ANKRD36B	ENSG00000196912	ankyrin repeat domain 36B(ANKRD36B)
ANKS6	ENSG00000165138	ankyrin repeat and sterile alpha motif domain containing 6(ANKS6)
ANP32E	ENSG00000143401	acidic nuclear phosphoprotein 32 family member E(ANP32E)
ANXA9	ENSG00000143412	annexin A9(ANXA9)
AOAH	ENSG00000136250	acyloxyacyl hydrolase(AOAH)
AOC2	ENSG00000131480	amine oxidase copper containing 2(AOC2)
AP1G1	ENSG00000166747	adaptor related protein complex 1 subunit gamma 1(AP1G1)
AP1M2	ENSG00000129354	adaptor related protein complex 1 subunit mu 2(AP1M2)
APAF1	ENSG00000120868	apoptotic peptidase activating factor 1(APAF1)
APCDD1	ENSG00000154856	APC down-regulated 1(APCDD1)
APH1B	ENSG00000138613	aph-1 homolog B, gamma-secretase subunit(APH1B)
APOBEC3AP1	ENSG00000248822	apolipoprotein B mRNA editing enzyme catalytic subunit 3A pseudogene 1(APOBEC3AP1)
APOBEC3B	ENSG00000179750	apolipoprotein B mRNA editing enzyme catalytic subunit 3B(APOBEC3B)
APOL1	ENSG00000100342	apolipoprotein L1(APOL1)
APOL2	ENSG00000128335	apolipoprotein L2(APOL2)
APPL1	ENSG00000157500	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1(APPL1)
AQP3	ENSG00000165272	aquaporin 3 (Gill blood group)(AQP3)
AQP5	ENSG00000161798	aquaporin 5(AQP5)
AQP9	ENSG00000103569	aquaporin 9(AQP9)
ARAP2	ENSG00000047365	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2(ARAP2)
ARG1	ENSG00000118520	arginase 1(ARG1)
ARHGAP1	ENSG00000175220	Rho GTPase activating protein 1(ARHGAP1)
ARHGAP9	ENSG00000123329	Rho GTPase activating protein 9(ARHGAP9)
ARHGAP15	ENSG00000075884	Rho GTPase activating protein 15(ARHGAP15)
ARHGAP24	ENSG00000138639	Rho GTPase activating protein 24(ARHGAP24)
ARHGAP26	ENSG00000145819	Rho GTPase activating protein 26(ARHGAP26)
ARHGAP30	ENSG00000186517	Rho GTPase activating protein 30(ARHGAP30)
ARHGEF4	ENSG00000136002	Rho guanine nucleotide exchange factor 4(ARHGEF4)
ARHGEF40	ENSG00000165801	Rho guanine nucleotide exchange factor 40(ARHGEF40)
ARID2	ENSG00000189079	AT-rich interaction domain 2(ARID2)
ARID3A	ENSG00000116017	AT-rich interaction domain 3A(ARID3A)
ARID5B	ENSG00000150347	AT-rich interaction domain 5B(ARID5B)
ARIH2	ENSG00000177479	ariadne RBR E3 ubiquitin protein ligase 2(ARIH2)
ARL11	ENSG00000152213	ADP ribosylation factor like GTPase 11(ARL11)
ARMC1	ENSG00000104442	armadillo repeat containing 1(ARMC1)
ARMCX2	ENSG00000184867	armadillo repeat containing X-linked 2(ARMCX2)
ARNT	ENSG00000143437	aryl hydrocarbon receptor nuclear translocator(ARNT)
ARNT2	ENSG00000172379	aryl hydrocarbon receptor nuclear translocator 2(ARNT2)
ARRB1	ENSG00000137486	arrestin beta 1(ARRB1)
ARRDC1	ENSG00000197070	arrestin domain containing 1(ARRDC1)
ARSA	ENSG00000100299	arylsulfatase A(ARSA)
ARSB	ENSG00000113273	arylsulfatase B(ARSB)
ARSJ	ENSG00000180801	arylsulfatase family member J(ARSJ)
ARV1	ENSG00000173409	ARV1 homolog, fatty acid homeostasis modulator(ARV1)
ASAH1	ENSG00000104763	N-acylsphingosine amidohydrolase 1(ASAH1)
ASB1	ENSG00000065802	ankyrin repeat and SOCS box containing 1(ASB1)
ASB3	ENSG00000115239	ankyrin repeat and SOCS box containing 3(ASB3)
ASB7	ENSG00000183475	ankyrin repeat and SOCS box containing 7(ASB7)
ASB13	ENSG00000196372	ankyrin repeat and SOCS box containing 13(ASB13)
ASCC3	ENSG00000112249	activating signal cointegrator 1 complex subunit 3(ASCC3)
ASCL1	ENSG00000139352	achaete-scute family bHLH transcription factor 1(ASCL1)
ASH1L	ENSG00000116539	ASH1 like histone lysine methyltransferase(ASH1L)
ASIC2	ENSG00000108684	acid sensing ion channel subunit 2(ASIC2)
ASL	ENSG00000126522	argininosuccinate lyase(ASL)
ASMT	ENSG00000196433	acetylserotonin O-methyltransferase(ASMT)
ASNS	ENSG00000070669	asparagine synthetase (glutamine-hydrolyzing)(ASNS)
ASPRV1	ENSG00000244617	aspartic peptidase retroviral like 1(ASPRV1)
ASS1	ENSG00000130707	argininosuccinate synthase 1(ASS1)
ASS1P9	ENSG00000217791	argininosuccinate synthetase 1 pseudogene 9(ASS1P9)
ATAD2B	ENSG00000119778	ATPase family AAA domain containing 2B(ATAD2B)
ATE1	ENSG00000107669	arginyltransferase 1(ATE1)
ATF3	ENSG00000162772	activating transcription factor 3(ATF3)
ATF4	ENSG00000128272	activating transcription factor 4(ATF4)
ATF5	ENSG00000169136	activating transcription factor 5(ATF5)
ATF7IP2	ENSG00000166669	activating transcription factor 7 interacting protein 2(ATF7IP2)
ATG2A	ENSG00000110046	autophagy related 2A(ATG2A)
ATG7	ENSG00000197548	autophagy related 7(ATG7)
ATIC	ENSG00000138363	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(ATIC)
ATOH7	ENSG00000179774	atonal bHLH transcription factor 7(ATOH7)
ATP1B1	ENSG00000143153	ATPase Na+/K+ transporting subunit beta 1(ATP1B1)
ATP6V0B	ENSG00000117410	ATPase H+ transporting V0 subunit b(ATP6V0B)
ATP8B2	ENSG00000143515	ATPase phospholipid transporting 8B2(ATP8B2)
ATP9B	ENSG00000166377	ATPase phospholipid transporting 9B (putative)(ATP9B)
ATP10D	ENSG00000145246	ATPase phospholipid transporting 10D (putative)(ATP10D)
ATR	ENSG00000175054	ATR serine/threonine kinase(ATR)
ATXN7L2	ENSG00000162650	ataxin 7 like 2(ATXN7L2)
AUTS2	ENSG00000158321	activator of transcription and developmental regulator AUTS2(AUTS2)
AVIL	ENSG00000135407	advillin(AVIL)
AVP	ENSG00000101200	arginine vasopressin(AVP)
AVPR1A	ENSG00000166148	arginine vasopressin receptor 1A(AVPR1A)
AXDND1	ENSG00000162779	axonemal dynein light chain domain containing 1(AXDND1)
AXIN1	ENSG00000103126	axin 1(AXIN1)
B3GNT8	ENSG00000177191	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8(B3GNT8)
B4GALT5	ENSG00000158470	beta-1,4-galactosyltransferase 5(B4GALT5)
BACH2	ENSG00000112182	BTB domain and CNC homolog 2(BACH2)
BAG3	ENSG00000151929	BAG cochaperone 3(BAG3)
BAIAP3	ENSG00000007516	BAI1 associated protein 3(BAIAP3)
BANK1	ENSG00000153064	B cell scaffold protein with ankyrin repeats 1(BANK1)
BASP1	ENSG00000176788	brain abundant membrane attached signal protein 1(BASP1)
BATF2	ENSG00000168062	basic leucine zipper ATF-like transcription factor 2(BATF2)
BBS2	ENSG00000125124	Bardet-Biedl syndrome 2(BBS2)
